filename,original_entropy,dcp_processed,dcp_entropy,clahe_processed,clahe_entropy
050.png,7.3113,False,N/A,True,7.3500
051.png,7.1920,False,N/A,True,7.2253
052.png,6.7667,False,N/A,True,7.1759
053.png,7.1974,False,N/A,True,7.4411
054.png,7.0601,False,N/A,True,7.3207
055.png,7.1455,False,N/A,True,7.3842
056.png,7.1038,False,N/A,True,7.2932
057.png,7.0282,False,N/A,True,7.1411
058.png,6.9288,False,N/A,True,7.3638
059.png,7.3584,False,N/A,True,7.3735
060.png,7.2704,False,N/A,True,7.3897
061.png,7.1849,False,N/A,True,7.3665
062.png,7.2172,False,N/A,True,7.5326
063.png,7.3430,False,N/A,True,7.5245
064.png,6.9874,False,N/A,True,7.3409
065.png,7.4789,False,N/A,True,7.5821
066.png,7.0332,False,N/A,True,7.5178
067.png,7.2708,False,N/A,True,7.3004
068.png,7.2623,False,N/A,True,7.6366
069.png,7.4329,False,N/A,True,7.6492
070.png,6.9420,False,N/A,True,7.0696
071.png,7.2846,False,N/A,True,7.4985
072.png,7.4533,False,N/A,True,7.4641
073.png,7.4366,False,N/A,True,7.3912
074.png,7.2381,False,N/A,True,7.2409
075.png,7.3136,False,N/A,True,7.3698
076.png,7.3713,False,N/A,True,7.3365
077.png,7.3521,False,N/A,True,7.5607
078.png,7.3376,False,N/A,True,7.6218
079.png,7.3288,False,N/A,True,7.4700
080.png,7.4665,False,N/A,True,7.6066
081.png,7.3931,False,N/A,True,7.6428
082.png,7.1415,False,N/A,True,7.5123
083.png,7.1708,False,N/A,True,7.2375
084.png,7.2148,False,N/A,True,7.4116
085.png,6.9761,False,N/A,True,7.3107
086.png,7.2461,False,N/A,True,7.4941
087.png,7.6101,False,N/A,True,7.7712
088.png,7.1685,False,N/A,True,7.2823
089.png,7.3772,False,N/A,True,7.6017
090.png,7.1214,False,N/A,True,7.3622
091.png,6.8437,False,N/A,True,7.2454
092.png,7.0633,False,N/A,True,7.2245
093.png,7.2421,False,N/A,True,7.3112
094.png,7.4543,False,N/A,True,7.5324
095.png,7.1706,False,N/A,True,7.2989
096.png,7.4491,False,N/A,True,7.5824
097.png,7.2661,False,N/A,True,7.3994
098.png,7.5058,False,N/A,True,7.4992
099.png,6.8996,False,N/A,True,7.4759
100.png,7.1946,False,N/A,True,7.4753
101.png,7.2152,False,N/A,True,7.5217
102.png,7.3671,False,N/A,True,7.6010
103.png,6.9775,False,N/A,True,7.1397
104.png,7.1805,False,N/A,True,7.4191
105.png,7.2405,False,N/A,True,7.4794
106.png,6.9269,False,N/A,True,7.2464
107.png,7.1493,False,N/A,True,7.1985
108.png,7.1497,False,N/A,True,7.4602
109.png,7.3015,False,N/A,True,7.2746
110.png,6.7821,False,N/A,True,7.2234
111.png,7.3399,False,N/A,True,7.4254
112.png,7.2987,False,N/A,True,7.4835
113.png,7.5223,False,N/A,True,7.5371
114.png,7.1546,False,N/A,True,7.4901
115.png,7.1552,False,N/A,True,7.3007
116.png,7.0884,False,N/A,True,7.4457
117.png,7.1629,False,N/A,True,7.3291
118.png,7.0886,False,N/A,True,7.3383
119.png,6.1530,False,N/A,True,6.8571
120.png,7.3101,False,N/A,True,7.5480
121.png,7.4790,False,N/A,True,7.6343
122.png,7.1085,False,N/A,True,7.3060
123.png,7.4903,False,N/A,True,7.5459
124.png,7.2373,False,N/A,True,7.3486
125.png,7.3785,False,N/A,True,7.4858
126.png,7.1430,False,N/A,True,7.3406
127.png,7.5152,False,N/A,True,7.6150
128.png,7.2501,False,N/A,True,7.3910
129.png,7.0519,False,N/A,True,7.3767
130.png,7.3708,False,N/A,True,7.4393
131.png,6.9447,False,N/A,True,7.3020
132.png,7.3329,False,N/A,True,7.5086
133.png,7.3457,False,N/A,True,7.3658
134.png,7.2387,False,N/A,True,7.2974
135.png,6.9868,False,N/A,True,7.0965
136.png,7.1489,False,N/A,True,7.1444
137.png,7.3040,False,N/A,True,7.6192
138.png,6.4403,False,N/A,True,7.1886
139.png,7.3791,False,N/A,True,7.6100
140.png,7.5061,False,N/A,True,7.5404
141.png,7.3782,False,N/A,True,7.6396
142.png,7.5120,False,N/A,True,7.5588
143.png,7.3104,False,N/A,True,7.5341
144.png,7.5296,False,N/A,True,7.5984
145.png,7.1416,False,N/A,True,7.5609
146.png,7.1833,False,N/A,True,7.3181
147.png,7.0875,False,N/A,True,7.2450
148.png,6.9285,False,N/A,True,7.2186
149.png,7.3775,False,N/A,True,7.5312
150.png,7.5189,False,N/A,True,7.6508
151.png,7.2663,False,N/A,True,7.4919
152.png,7.4492,False,N/A,True,7.6692
153.png,7.5894,False,N/A,True,7.6513
154.png,7.4678,False,N/A,True,7.5095
155.png,7.2262,False,N/A,True,7.5859
156.png,7.2804,False,N/A,True,7.4057
157.png,7.2998,False,N/A,True,7.4880
158.png,7.0099,False,N/A,True,7.3016
159.png,7.4957,False,N/A,True,7.6021
160.png,6.9258,False,N/A,True,7.1484
161.png,6.8719,False,N/A,True,7.2441
162.png,7.3901,False,N/A,True,7.3943
163.png,7.0645,False,N/A,True,7.1699
164.png,7.3409,False,N/A,True,7.5139
165.png,7.3547,False,N/A,True,7.5252
166.png,7.3413,False,N/A,True,7.6095
167.png,7.4028,False,N/A,True,7.4345
168.png,7.3370,False,N/A,True,7.4473
169.png,7.3368,False,N/A,True,7.6240
170.png,7.3743,False,N/A,True,7.5898
171.png,7.2504,False,N/A,True,7.3787
172.png,6.7406,False,N/A,True,7.0703
173.png,6.8407,False,N/A,True,7.0490
174.png,7.1669,False,N/A,True,7.2898
175.png,7.4102,False,N/A,True,7.6904
176.png,7.3666,False,N/A,True,7.6673
177.png,7.2296,False,N/A,True,7.4116
178.png,7.3370,False,N/A,True,7.4874
179.png,6.5210,False,N/A,True,7.1976
180.png,6.7516,False,N/A,True,7.1726
181.png,7.1266,False,N/A,True,7.0488
182.png,7.3061,False,N/A,True,7.3863
183.png,7.3789,False,N/A,True,7.5573
184.png,7.2728,False,N/A,True,7.4091
185.png,6.2952,False,N/A,True,6.8584
186.png,7.4301,False,N/A,True,7.5968
187.png,7.1788,False,N/A,True,7.1624
188.png,7.1307,False,N/A,True,7.1777
189.png,7.1409,False,N/A,True,7.2669
190.png,7.1920,False,N/A,True,7.3258
191.png,6.8462,False,N/A,True,7.5141
192.png,7.0508,False,N/A,True,7.3462
193.png,7.0051,False,N/A,True,7.2207
194.png,7.0625,False,N/A,True,7.2426
195.png,6.9936,False,N/A,True,7.3061
196.png,7.4381,False,N/A,True,7.6488
197.png,7.0145,False,N/A,True,7.2463
198.png,7.0733,False,N/A,True,7.2992
199.png,6.8586,False,N/A,True,7.1019
200.png,6.7432,False,N/A,True,7.2396
201.png,7.1657,False,N/A,True,7.3345
202.png,7.2266,False,N/A,True,7.3493
203.png,7.4657,False,N/A,True,7.3603
204.png,7.0565,False,N/A,True,7.3430
205.png,7.0324,False,N/A,True,7.2983
206.png,6.9509,False,N/A,True,7.0848
207.png,7.2141,False,N/A,True,7.5282
208.png,7.1361,False,N/A,True,7.3441
209.png,6.9956,False,N/A,True,7.1366
210.png,6.7337,False,N/A,True,6.8230
211.png,6.5144,False,N/A,True,7.0031
212.png,6.5276,False,N/A,True,7.0188
213.png,6.5236,False,N/A,True,6.9952
214.png,7.0972,False,N/A,True,7.1691
215.png,7.1727,False,N/A,True,7.2113
216.png,7.1673,False,N/A,True,7.2441
217.png,7.2582,False,N/A,True,7.2088
218.png,7.1732,False,N/A,True,7.3704
219.png,7.0814,False,N/A,True,7.0894
220.png,6.9754,False,N/A,True,7.1875
221.png,7.6050,False,N/A,True,7.6998
222.png,6.7272,False,N/A,True,7.1388
223.png,7.1611,False,N/A,True,7.2846
224.png,7.0609,False,N/A,True,7.3169
225.png,7.1573,False,N/A,True,7.3844
226.png,7.4266,False,N/A,True,7.5309
227.png,7.4665,False,N/A,True,7.5240
228.png,7.2764,False,N/A,True,7.5737
229.png,7.3632,False,N/A,True,7.5502
230.png,6.5550,False,N/A,True,7.1558
231.png,6.7797,False,N/A,True,7.2974
232.png,7.2696,False,N/A,True,7.3995
233.png,7.5232,False,N/A,True,7.5794
234.png,7.2740,False,N/A,True,7.3459
235.png,7.2378,False,N/A,True,7.4090
236.png,7.2839,False,N/A,True,7.4309
237.png,7.3200,False,N/A,True,7.3258
238.png,7.0824,False,N/A,True,7.2042
239.png,7.3974,False,N/A,True,7.4349
240.png,6.9727,False,N/A,True,7.1867
241.png,7.2163,False,N/A,True,7.3614
242.png,7.1259,False,N/A,True,7.3911
243.png,7.3638,False,N/A,True,7.5873
244.png,7.2816,False,N/A,True,7.4793
245.png,6.9430,False,N/A,True,7.1408
246.png,7.1838,False,N/A,True,7.3360
247.png,7.2940,False,N/A,True,7.3145
248.png,6.9015,False,N/A,True,7.3301
249.png,7.3391,False,N/A,True,7.6152
250.png,7.3799,False,N/A,True,7.5749
251.png,7.4179,False,N/A,True,7.4175
252.png,6.9593,False,N/A,True,7.0593
253.png,7.4776,False,N/A,True,7.5816
254.png,7.3100,False,N/A,True,7.3897
255.png,7.2504,False,N/A,True,7.2857
256.png,7.2683,False,N/A,True,7.3766
257.png,7.2549,False,N/A,True,7.5057
258.png,7.2328,False,N/A,True,7.2852
259.png,7.2626,False,N/A,True,7.3191
260.png,7.5247,False,N/A,True,7.5875
261.png,7.4868,False,N/A,True,7.4817
262.png,7.2058,False,N/A,True,7.3598
263.png,7.2189,False,N/A,True,7.4520
264.png,7.2839,False,N/A,True,7.3511
265.png,7.0104,False,N/A,True,7.3459
266.png,6.8902,False,N/A,True,7.1498
267.png,7.3994,False,N/A,True,7.5196
268.png,6.8893,False,N/A,True,7.3320
269.png,6.7636,False,N/A,True,7.1833
270.png,6.8521,False,N/A,True,7.1328
271.png,6.6878,False,N/A,True,7.0011
272.png,7.1644,False,N/A,True,7.2627
273.png,6.9287,False,N/A,True,7.0861
274.png,6.8796,False,N/A,True,7.1152
275.png,6.6770,False,N/A,True,7.0829
276.png,6.9594,False,N/A,True,7.2963
277.png,7.2602,False,N/A,True,7.4308
278.png,6.7029,False,N/A,True,7.0687
279.png,6.4897,False,N/A,True,6.9035
280.png,6.6713,False,N/A,True,6.9907
281.png,6.5810,False,N/A,True,7.0987
282.png,7.3141,False,N/A,True,7.4005
283.png,7.4571,False,N/A,True,7.3901
284.png,7.1802,False,N/A,True,7.0327
285.png,7.1790,False,N/A,True,7.3968
286.png,6.8136,False,N/A,True,7.2515
287.png,6.1437,False,N/A,True,6.9171
288.png,6.8308,False,N/A,True,7.2478
289.png,7.0042,False,N/A,True,7.0584
290.png,7.0635,False,N/A,True,7.2072
291.png,7.1668,False,N/A,True,7.3585
292.png,6.9167,False,N/A,True,7.2402
293.png,6.8416,False,N/A,True,7.2433
294.png,6.0529,False,N/A,True,7.0532
295.png,7.2412,False,N/A,True,7.3122
296.png,7.2225,False,N/A,True,7.2644
297.png,7.2057,False,N/A,True,7.4595
298.png,7.2929,False,N/A,True,7.3554
299.png,6.8073,False,N/A,True,7.2469
300.png,7.1958,False,N/A,True,7.2760
301.png,7.1312,False,N/A,True,7.3807
302.png,6.7323,False,N/A,True,7.1774
303.png,7.1336,False,N/A,True,7.3562
304.png,6.9877,False,N/A,True,7.1384
305.png,7.1811,False,N/A,True,7.3472
306.png,7.2677,False,N/A,True,7.4046
307.png,7.2963,False,N/A,True,7.3251
308.png,6.7430,False,N/A,True,7.1403
309.png,6.8160,False,N/A,True,6.9883
310.png,7.0825,False,N/A,True,7.2178
311.png,7.2627,False,N/A,True,7.3538
312.png,7.0680,False,N/A,True,7.3180
313.png,7.1647,False,N/A,True,7.1581
314.png,6.7328,False,N/A,True,7.2279
315.png,6.4535,False,N/A,True,6.9899
316.png,7.1218,False,N/A,True,7.3720
317.png,7.0975,False,N/A,True,7.2498
318.png,7.0127,False,N/A,True,7.1874
319.png,6.5623,False,N/A,True,7.2956
320.png,6.2246,False,N/A,True,6.9888
321.png,7.1021,False,N/A,True,7.2485
322.png,6.5305,False,N/A,True,6.9127
323.png,7.6288,False,N/A,True,7.6808
324.png,7.4930,False,N/A,True,7.5448
325.png,7.2264,False,N/A,True,7.3743
326.png,7.1676,False,N/A,True,7.0193
327.png,7.1514,False,N/A,True,7.4373
328.png,7.2723,False,N/A,True,7.3473
329.png,7.1627,False,N/A,True,7.2138
330.png,7.1450,False,N/A,True,7.1370
331.png,6.9337,False,N/A,True,7.1071
332.png,7.3469,False,N/A,True,7.3701
333.png,7.2697,False,N/A,True,7.3619
334.png,7.0006,False,N/A,True,7.1325
335.png,7.2595,False,N/A,True,7.3041
336.png,7.4171,False,N/A,True,7.5485
337.png,7.0342,False,N/A,True,7.1821
338.png,7.2696,False,N/A,True,7.2538
339.png,7.0542,False,N/A,True,7.3038
340.png,7.1888,False,N/A,True,7.2139
341.png,7.1167,False,N/A,True,7.0531
342.png,6.6108,False,N/A,True,6.9596
343.png,7.2171,False,N/A,True,7.3155
344.png,7.2277,False,N/A,True,7.4451
345.png,6.9772,False,N/A,True,7.1992
346.png,7.3340,False,N/A,True,7.3708
347.png,7.4159,False,N/A,True,7.3640
348.png,6.5371,False,N/A,True,6.9902
349.png,6.9899,False,N/A,True,7.0394
350.png,7.2293,False,N/A,True,7.2274
351.png,7.1105,False,N/A,True,7.2496
352.png,6.9989,False,N/A,True,7.2397
353.png,7.1349,False,N/A,True,7.5119
354.png,7.3914,False,N/A,True,7.3249
355.png,7.2850,False,N/A,True,7.2583
356.png,7.1071,False,N/A,True,7.1515
357.png,7.2387,False,N/A,True,7.2904
358.png,7.1407,False,N/A,True,7.2473
359.png,7.1792,False,N/A,True,7.2177
360.png,7.2472,False,N/A,True,7.2290
361.png,6.9698,False,N/A,True,7.1798
362.png,7.0862,False,N/A,True,7.0252
363.png,6.8779,False,N/A,True,7.2147
364.png,7.0626,False,N/A,True,7.1409
365.png,7.2715,False,N/A,True,7.4078
366.png,6.9674,False,N/A,True,7.2503
367.png,7.2461,False,N/A,True,7.4387
368.png,6.8734,False,N/A,True,7.0896
369.png,6.7949,False,N/A,True,7.2398
370.png,7.3443,False,N/A,True,7.4622
371.png,7.1173,False,N/A,True,7.2678
372.png,6.7307,False,N/A,True,7.0606
373.png,7.1638,False,N/A,True,7.4165
374.png,7.3994,False,N/A,True,7.4075
375.png,7.2218,False,N/A,True,7.2384
376.png,7.0993,False,N/A,True,7.0354
377.png,7.1661,False,N/A,True,7.1166
378.png,7.1398,False,N/A,True,7.2375
379.png,7.0143,False,N/A,True,7.3718
380.png,7.2251,False,N/A,True,7.3118
381.png,7.0767,False,N/A,True,7.1578
382.png,7.1153,False,N/A,True,7.4053
383.png,7.1444,False,N/A,True,7.2777
384.png,6.9271,False,N/A,True,7.2473
385.png,7.2790,False,N/A,True,7.2378
386.png,7.1451,False,N/A,True,7.3402
387.png,7.1479,False,N/A,True,7.3218
388.png,7.0444,False,N/A,True,7.3000
389.png,7.1528,False,N/A,True,7.2716
390.png,7.2088,False,N/A,True,7.2953
391.png,7.3089,False,N/A,True,7.4620
392.png,7.0997,False,N/A,True,7.3664
393.png,7.3387,False,N/A,True,7.2312
394.png,7.3802,False,N/A,True,7.3563
395.png,7.2872,False,N/A,True,7.2344
396.png,7.2849,False,N/A,True,7.4031
397.png,7.2047,False,N/A,True,7.2975
398.png,7.2190,False,N/A,True,7.1749
399.png,7.2249,False,N/A,True,7.2175
400.png,6.6762,False,N/A,True,7.0825
401.png,7.1383,False,N/A,True,7.2111
402.png,7.1670,False,N/A,True,7.1707
403.png,7.1894,False,N/A,True,7.1411
404.png,5.7690,False,N/A,True,6.6613
405.png,7.2486,False,N/A,True,7.4077
406.png,7.1407,False,N/A,True,7.0651
407.png,7.1978,False,N/A,True,7.2355
408.png,7.1520,False,N/A,True,7.3093
409.png,6.8764,False,N/A,True,7.2707
410.png,7.0685,False,N/A,True,7.1769
411.png,7.2624,False,N/A,True,7.2200
412.png,6.8344,False,N/A,True,7.2270
413.png,7.1424,False,N/A,True,7.2671
414.png,7.2516,False,N/A,True,7.3451
415.png,7.3366,False,N/A,True,7.3861
416.png,7.2303,False,N/A,True,7.1336
417.png,7.2382,False,N/A,True,7.3161
418.png,7.4616,False,N/A,True,7.3853
419.png,7.3623,False,N/A,True,7.4218
420.png,7.2965,False,N/A,True,7.3387
421.png,7.3755,False,N/A,True,7.2828
422.png,7.2604,False,N/A,True,7.4065
423.png,7.1505,False,N/A,True,7.1723
424.png,7.1273,False,N/A,True,7.3255
425.png,7.3576,False,N/A,True,7.4918
426.png,7.4526,False,N/A,True,7.4473
427.png,5.7594,False,N/A,True,6.6836
428.png,6.5184,False,N/A,True,7.0004
429.png,7.1026,False,N/A,True,7.1458
430.png,7.2067,False,N/A,True,7.3402
431.png,6.7234,False,N/A,True,7.1079
432.png,6.5674,False,N/A,True,6.8220
433.png,6.7777,False,N/A,True,7.0684
434.png,7.2138,False,N/A,True,7.3835
435.png,7.1552,False,N/A,True,7.3538
436.png,6.9004,False,N/A,True,7.0708
437.png,7.0626,False,N/A,True,7.3478
438.png,7.0202,False,N/A,True,7.0704
439.png,7.0017,False,N/A,True,7.2476
440.png,6.8444,False,N/A,True,7.0577
441.png,7.1355,False,N/A,True,7.2030
442.png,7.1946,False,N/A,True,7.1157
443.png,7.2745,False,N/A,True,7.3028
444.png,7.1747,False,N/A,True,7.2511
445.png,6.9791,False,N/A,True,7.0103
446.png,7.0105,False,N/A,True,7.0663
447.png,6.6218,False,N/A,True,6.9006
448.png,6.3373,False,N/A,True,6.6849
449.png,6.6026,False,N/A,True,6.9011
450.png,6.9848,False,N/A,True,7.0319
451.png,7.1271,False,N/A,True,7.1293
452.png,7.0084,False,N/A,True,7.1241
453.png,6.7777,False,N/A,True,6.7147
454.png,7.2189,False,N/A,True,7.5003
455.png,7.1488,False,N/A,True,7.1209
456.png,7.1289,False,N/A,True,7.0057
457.png,6.9675,False,N/A,True,6.9299
458.png,7.3161,False,N/A,True,7.2805
459.png,7.1454,False,N/A,True,7.4899
460.png,6.9275,False,N/A,True,6.9863
461.png,7.2626,False,N/A,True,7.1364
462.png,7.4788,False,N/A,True,7.5347
463.png,7.2919,False,N/A,True,7.2741
464.png,7.3515,False,N/A,True,7.3737
465.png,6.9940,False,N/A,True,6.9173
466.png,7.5477,False,N/A,True,7.5400
467.png,7.4848,False,N/A,True,7.5995
468.png,7.3949,False,N/A,True,7.5036
469.png,7.4423,False,N/A,True,7.5449
470.png,7.3166,False,N/A,True,7.3815
471.png,7.4459,False,N/A,True,7.5648
472.png,7.4755,False,N/A,True,7.5095
473.png,7.3999,False,N/A,True,7.2552
474.png,7.2625,False,N/A,True,7.3075
475.png,7.3292,False,N/A,True,7.4508
476.png,7.0102,False,N/A,True,7.2046
477.png,7.3417,False,N/A,True,7.5130
478.png,7.0806,False,N/A,True,7.3657
479.png,7.3970,False,N/A,True,7.3324
480.png,7.3881,False,N/A,True,7.4243
481.png,7.3220,False,N/A,True,7.4433
482.png,7.3698,False,N/A,True,7.3779
483.png,7.1438,False,N/A,True,7.3900
484.png,7.2515,False,N/A,True,7.2385
485.png,7.1771,False,N/A,True,7.1636
486.png,7.0661,False,N/A,True,7.3046
487.png,7.4201,False,N/A,True,7.5700
488.png,6.9070,False,N/A,True,6.8809
489.png,6.9042,False,N/A,True,7.0717
490.png,7.1918,False,N/A,True,7.2881
491.png,7.3275,False,N/A,True,7.4184
492.png,7.3072,False,N/A,True,7.5169
493.png,7.4021,False,N/A,True,7.4673
494.png,7.3709,False,N/A,True,7.4732
495.png,7.0187,False,N/A,True,7.2629
496.png,7.1140,False,N/A,True,7.1498
497.png,7.1604,False,N/A,True,7.1943
498.png,7.1737,False,N/A,True,7.2348
499.png,7.3716,False,N/A,True,7.4603
500.png,6.7507,False,N/A,True,7.0578
